1,1,1
2,3,5
3,3,1
4,3,3
5,6,5
6,6,4
7,7,1
8,7,2
9,7,4
10,8,2
11,9,4
12,9,2
13,9,3
14,10,3
15,11,5
16,12,3
17,13,3
18,14,1
19,14,4
20,14,3
21,15,4
22,15,2
23,15,1
24,17,4
25,18,2
26,18,5
27,18,1
28,19,3
29,19,1
30,19,2
31,22,4
32,23,1
33,23,4
34,24,2
35,25,1
36,26,3
37,26,2
38,27,5
39,27,4
40,27,2
41,28,1
42,28,5
43,29,3
44,29,4
45,31,5
46,31,4
47,32,5
48,32,1
49,35,5
50,35,2
51,36,5
52,36,3
53,36,1
54,37,1
55,37,4
56,37,2
57,38,1
58,38,5
59,39,5
60,39,4
61,40,4
62,40,5
63,40,3
64,42,3
65,42,1
66,42,5
67,43,2
68,44,3
69,45,3
70,45,2
71,46,2
72,46,5
73,47,3
74,49,5
75,49,3
76,50,2
77,50,5
